             x                 y                 z              cell   
     0.00585938       -0.00585938        0.00195312               471 
     0.00195312       -0.00195312        0.00195312               472 
     0.00585938       -0.00195312        0.00195312               473 
     0.00195312       -0.00585938        0.00585938               474 
     0.00585938       -0.00585938        0.00585938               475 
     0.00195312       -0.00195312        0.00585938               476 
     0.00585938       -0.00195312        0.00585938               477 
     0.00976562       -0.00585938        0.00195312               478 
     0.00976562       -0.00195312        0.00195312               479 
     0.00976562       -0.00585938        0.00585938               480 
      0.0136719       -0.00585938        0.00585938               481 
     0.00976562       -0.00195312        0.00585938               482 
     0.00195312       -0.00585938        0.00976562               483 
     0.00585938       -0.00585938        0.00976562               484 
     0.00195312       -0.00195312        0.00976562               485 
     0.00585938       -0.00195312        0.00976562               486 
     0.00195312       -0.00585938         0.0136719               487 
     0.00195312       -0.00195312         0.0136719               488 
     -0.0136719        0.00195312        0.00195312               489 
    -0.00976562        0.00195312        0.00195312               490 
     -0.0136719        0.00585938        0.00195312               491 
    -0.00976562        0.00585938        0.00195312               492 
    -0.00976562        0.00195312        0.00585938               493 
     -0.0136719        0.00585938        0.00585938               494 
    -0.00976562        0.00585938        0.00585938               495 
    -0.00585938        0.00195312        0.00195312               496 
    -0.00195312        0.00195312        0.00195312               497 
    -0.00585938        0.00585938        0.00195312               498 
    -0.00195312        0.00585938        0.00195312               499 
    -0.00585938        0.00195312        0.00585938               500 
    -0.00195312        0.00195312        0.00585938               501 
    -0.00585938        0.00585938        0.00585938               502 
    -0.00195312        0.00585938        0.00585938               503 
    -0.00585938        0.00976562        0.00195312               504 
    -0.00195312        0.00976562        0.00195312               505 
    -0.00195312         0.0136719        0.00195312               506 
    -0.00585938        0.00976562        0.00585938               507 
    -0.00195312        0.00976562        0.00585938               508 
    -0.00585938         0.0136719        0.00585938               509 
    -0.00585938        0.00195312        0.00976562               510 
    -0.00195312        0.00195312        0.00976562               511 
    -0.00585938        0.00585938        0.00976562               512 
    -0.00195312        0.00585938        0.00976562               513 
    -0.00585938        0.00195312         0.0136719               514 
    -0.00195312        0.00195312         0.0136719               515 
    -0.00585938        0.00585938         0.0136719               516 
     0.00195312        0.00195312        0.00195312               517 
     0.00585938        0.00195312        0.00195312               518 
     0.00195312        0.00585938        0.00195312               519 
     0.00585938        0.00585938        0.00195312               520 
     0.00195312        0.00195312        0.00585938               521 
     0.00585938        0.00195312        0.00585938               522 
     0.00195312        0.00585938        0.00585938               523 
